code,market,name,industry
600519,sh,贵州茅台,白酒
000858,sz,五粮液,白酒
000568,sz,泸州老窖,白酒
600809,sh,山西汾酒,白酒
002304,sz,洋河股份,白酒
000596,sz,古井贡酒,白酒
603369,sh,今世缘,白酒
600702,sh,舍得酒业,白酒
000001,sz,平安银行,银行
601398,sh,工商银行,银行
601939,sh,建设银行,银行
600036,sh,招商银行,银行
601288,sh,农业银行,银行
601166,sh,兴业银行,银行
600016,sh,民生银行,银行
601818,sh,光大银行,银行
300750,sz,宁德时代,新能源
002594,sz,比亚迪,汽车
601238,sh,广汽集团,汽车
000625,sz,长安汽车,汽车
600104,sh,上汽集团,汽车
002371,sz,北方华创,半导体
688981,sh,中芯国际,半导体
603501,sh,韦尔股份,半导体
002049,sz,紫光国微,半导体
688012,sh,中微公司,半导体
002916,sz,深南电路,半导体
600276,sh,恒瑞医药,医药
300760,sz,迈瑞医疗,医药
000538,sz,云南白药,医药
600436,sh,片仔癀,医药
300122,sz,智飞生物,医药
002007,sz,华兰生物,医药
000651,sz,格力电器,家电
000333,sz,美的集团,家电
002032,sz,苏泊尔,家电
600690,sh,海尔智家,家电
002508,sz,老板电器,家电
600887,sh,伊利股份,食品饮料
002714,sz,牧原股份,农牧
600031,sh,三一重工,机械
000157,sz,中联重科,机械
601012,sh,隆基绿能,光伏
600905,sh,三峡能源,电力
600900,sh,长江电力,电力
601985,sh,中国核电,电力
000002,sz,万科A,房地产
600048,sh,保利发展,房地产
001979,sz,招商蛇口,房地产
601668,sh,中国建筑,建筑
601390,sh,中国中铁,建筑
601800,sh,中国交建,建筑
600585,sh,海螺水泥,建材
002271,sz,东方雨虹,建材
601888,sh,中国中免,旅游
600138,sh,中青旅,旅游
000069,sz,华侨城A,旅游
601318,sh,中国平安,保险
601601,sh,中国太保,保险
002415,sz,海康威视,安防
000977,sz,浪潮信息,IT
002230,sz,科大讯飞,人工智能
688111,sh,金山办公,软件
300033,sz,同花顺,软件
603888,sh,新华网,传媒
300413,sz,芒果超媒,传媒
002027,sz,分众传媒,广告
600036,sh,招商银行,银行
601857,sh,中国石油,石油
600028,sh,中国石化,石油
601088,sh,中国神华,煤炭
600188,sh,兖矿能源,煤炭
002460,sz,赣锋锂业,锂电
300014,sz,亿纬锂能,锂电
600438,sh,通威股份,光伏
002459,sz,晶澳科技,光伏
688303,sh,大全能源,光伏
601899,sh,紫金矿业,有色金属
600362,sh,江西铜业,有色金属
603993,sh,洛阳钼业,有色金属
600019,sh,宝钢股份,钢铁
000709,sz,河钢股份,钢铁
601006,sh,大秦铁路,交通运输
601111,sh,中国国航,航空
600115,sh,中国东航,航空
000768,sz,中航飞机,军工
600893,sh,航发动力,军工
601989,sh,中国重工,军工
600570,sh,恒生电子,金融科技
300059,sz,东方财富,金融科技
601688,sh,华泰证券,证券
600030,sh,中信证券,证券
601211,sh,国泰君安,证券
000776,sz,广发证券,证券
002475,sz,立讯精密,电子
600763,sh,通策医疗,医疗服务
300015,sz,爱尔眼科,医疗服务
603259,sh,药明康德,CXO
300347,sz,泰格医药,CXO
300142,sz,沃森生物,疫苗
688169,sh,石头科技,智能硬件
300274,sz,阳光电源,光伏逆变器
